Unnamed: 0,STATION,LINENAME,ENTRIES,EXITS,TIMESTAMP,DAY,STATID,HOUR,HOURBIN,ENTRY_DIFF,EXIT_DIFF
157605,GRD CNTRL-42 ST,4567S,2266959,6043984,2019-11-16 00:00:00,SAT,GRD CNTRL-42 ST__4567S,0,"(-1, 3]",,
157606,GRD CNTRL-42 ST,4567S,2266962,6043985,2019-11-16 04:00:00,SAT,GRD CNTRL-42 ST__4567S,4,"(3, 7]",3.0,1.0
157607,GRD CNTRL-42 ST,4567S,2266971,6044043,2019-11-16 08:00:00,SAT,GRD CNTRL-42 ST__4567S,8,"(7, 11]",9.0,58.0
157608,GRD CNTRL-42 ST,4567S,2267042,6044303,2019-11-16 12:00:00,SAT,GRD CNTRL-42 ST__4567S,12,"(11, 15]",71.0,260.0
157609,GRD CNTRL-42 ST,4567S,2267180,6044556,2019-11-16 16:00:00,SAT,GRD CNTRL-42 ST__4567S,16,"(15, 19]",138.0,253.0
157610,GRD CNTRL-42 ST,4567S,2267342,6044911,2019-11-16 20:00:00,SAT,GRD CNTRL-42 ST__4567S,20,"(19, 24]",162.0,355.0
157611,GRD CNTRL-42 ST,4567S,2267418,6044994,2019-11-17 00:00:00,SUN,GRD CNTRL-42 ST__4567S,0,"(-1, 3]",76.0,83.0
157612,GRD CNTRL-42 ST,4567S,2267419,6044994,2019-11-17 04:00:00,SUN,GRD CNTRL-42 ST__4567S,4,"(3, 7]",1.0,0.0
157613,GRD CNTRL-42 ST,4567S,2267426,6045029,2019-11-17 08:00:00,SUN,GRD CNTRL-42 ST__4567S,8,"(7, 11]",7.0,35.0
157614,GRD CNTRL-42 ST,4567S,2267464,6045148,2019-11-17 12:00:00,SUN,GRD CNTRL-42 ST__4567S,12,"(11, 15]",38.0,119.0
157615,GRD CNTRL-42 ST,4567S,2267553,6045395,2019-11-17 16:00:00,SUN,GRD CNTRL-42 ST__4567S,16,"(15, 19]",89.0,247.0
157616,GRD CNTRL-42 ST,4567S,2267664,6045595,2019-11-17 20:00:00,SUN,GRD CNTRL-42 ST__4567S,20,"(19, 24]",111.0,200.0
157617,GRD CNTRL-42 ST,4567S,2267719,6045616,2019-11-18 00:00:00,MON,GRD CNTRL-42 ST__4567S,0,"(-1, 3]",55.0,21.0
157618,GRD CNTRL-42 ST,4567S,2267720,6045617,2019-11-18 04:00:00,MON,GRD CNTRL-42 ST__4567S,4,"(3, 7]",1.0,1.0
157619,GRD CNTRL-42 ST,4567S,2267750,6046109,2019-11-18 08:00:00,MON,GRD CNTRL-42 ST__4567S,8,"(7, 11]",30.0,492.0
157620,GRD CNTRL-42 ST,4567S,2267867,6048013,2019-11-18 12:00:00,MON,GRD CNTRL-42 ST__4567S,12,"(11, 15]",117.0,1904.0
157621,GRD CNTRL-42 ST,4567S,2268200,6048549,2019-11-18 16:00:00,MON,GRD CNTRL-42 ST__4567S,16,"(15, 19]",333.0,536.0
157622,GRD CNTRL-42 ST,4567S,2269320,6049617,2019-11-18 20:00:00,MON,GRD CNTRL-42 ST__4567S,20,"(19, 24]",1120.0,1068.0
157623,GRD CNTRL-42 ST,4567S,2269596,6049760,2019-11-19 00:00:00,TUE,GRD CNTRL-42 ST__4567S,0,"(-1, 3]",276.0,143.0
157624,GRD CNTRL-42 ST,4567S,2269599,6049764,2019-11-19 04:00:00,TUE,GRD CNTRL-42 ST__4567S,4,"(3, 7]",3.0,4.0
157625,GRD CNTRL-42 ST,4567S,2269617,6050290,2019-11-19 08:00:00,TUE,GRD CNTRL-42 ST__4567S,8,"(7, 11]",18.0,526.0
157626,GRD CNTRL-42 ST,4567S,2269757,6052124,2019-11-19 12:00:00,TUE,GRD CNTRL-42 ST__4567S,12,"(11, 15]",140.0,1834.0
157627,GRD CNTRL-42 ST,4567S,2270074,6052648,2019-11-19 16:00:00,TUE,GRD CNTRL-42 ST__4567S,16,"(15, 19]",317.0,524.0
157628,GRD CNTRL-42 ST,4567S,2271027,6053789,2019-11-19 20:00:00,TUE,GRD CNTRL-42 ST__4567S,20,"(19, 24]",953.0,1141.0
157629,GRD CNTRL-42 ST,4567S,2271303,6053955,2019-11-20 00:00:00,WED,GRD CNTRL-42 ST__4567S,0,"(-1, 3]",276.0,166.0
157630,GRD CNTRL-42 ST,4567S,2271305,6053957,2019-11-20 04:00:00,WED,GRD CNTRL-42 ST__4567S,4,"(3, 7]",2.0,2.0
157631,GRD CNTRL-42 ST,4567S,2271323,6054420,2019-11-20 08:00:00,WED,GRD CNTRL-42 ST__4567S,8,"(7, 11]",18.0,463.0
157632,GRD CNTRL-42 ST,4567S,2271423,6056232,2019-11-20 12:00:00,WED,GRD CNTRL-42 ST__4567S,12,"(11, 15]",100.0,1812.0
157633,GRD CNTRL-42 ST,4567S,2271668,6056780,2019-11-20 16:00:00,WED,GRD CNTRL-42 ST__4567S,16,"(15, 19]",245.0,548.0
157634,GRD CNTRL-42 ST,4567S,2272646,6057782,2019-11-20 20:00:00,WED,GRD CNTRL-42 ST__4567S,20,"(19, 24]",978.0,1002.0
157635,GRD CNTRL-42 ST,4567S,2272939,6057928,2019-11-21 00:00:00,THU,GRD CNTRL-42 ST__4567S,0,"(-1, 3]",293.0,146.0
157636,GRD CNTRL-42 ST,4567S,2272941,6057931,2019-11-21 04:00:00,THU,GRD CNTRL-42 ST__4567S,4,"(3, 7]",2.0,3.0
157637,GRD CNTRL-42 ST,4567S,2272963,6058400,2019-11-21 08:00:00,THU,GRD CNTRL-42 ST__4567S,8,"(7, 11]",22.0,469.0
157638,GRD CNTRL-42 ST,4567S,2273076,6060244,2019-11-21 12:00:00,THU,GRD CNTRL-42 ST__4567S,12,"(11, 15]",113.0,1844.0
157639,GRD CNTRL-42 ST,4567S,2273438,6060852,2019-11-21 16:00:00,THU,GRD CNTRL-42 ST__4567S,16,"(15, 19]",362.0,608.0
157640,GRD CNTRL-42 ST,4567S,2274390,6062013,2019-11-21 20:00:00,THU,GRD CNTRL-42 ST__4567S,20,"(19, 24]",952.0,1161.0
157641,GRD CNTRL-42 ST,4567S,2274620,6062192,2019-11-22 00:00:00,FRI,GRD CNTRL-42 ST__4567S,0,"(-1, 3]",230.0,179.0
157642,GRD CNTRL-42 ST,4567S,2274622,6062193,2019-11-22 04:00:00,FRI,GRD CNTRL-42 ST__4567S,4,"(3, 7]",2.0,1.0
157643,GRD CNTRL-42 ST,4567S,2274643,6062607,2019-11-22 08:00:00,FRI,GRD CNTRL-42 ST__4567S,8,"(7, 11]",21.0,414.0
157644,GRD CNTRL-42 ST,4567S,2274758,6064150,2019-11-22 12:00:00,FRI,GRD CNTRL-42 ST__4567S,12,"(11, 15]",115.0,1543.0
157645,GRD CNTRL-42 ST,4567S,2275157,6064771,2019-11-22 16:00:00,FRI,GRD CNTRL-42 ST__4567S,16,"(15, 19]",399.0,621.0
157646,GRD CNTRL-42 ST,4567S,2276024,6065682,2019-11-22 20:00:00,FRI,GRD CNTRL-42 ST__4567S,20,"(19, 24]",867.0,911.0
157647,GRD CNTRL-42 ST,4567S,957518,1927353,2019-11-16 00:00:00,SAT,GRD CNTRL-42 ST__4567S,0,"(-1, 3]",,
157648,GRD CNTRL-42 ST,4567S,957518,1927353,2019-11-16 04:00:00,SAT,GRD CNTRL-42 ST__4567S,4,"(3, 7]",0.0,0.0
157649,GRD CNTRL-42 ST,4567S,957530,1927408,2019-11-16 08:00:00,SAT,GRD CNTRL-42 ST__4567S,8,"(7, 11]",12.0,55.0
157650,GRD CNTRL-42 ST,4567S,957570,1927599,2019-11-16 12:00:00,SAT,GRD CNTRL-42 ST__4567S,12,"(11, 15]",40.0,191.0
157651,GRD CNTRL-42 ST,4567S,957666,1927803,2019-11-16 16:00:00,SAT,GRD CNTRL-42 ST__4567S,16,"(15, 19]",96.0,204.0
157652,GRD CNTRL-42 ST,4567S,957781,1928070,2019-11-16 20:00:00,SAT,GRD CNTRL-42 ST__4567S,20,"(19, 24]",115.0,267.0
157653,GRD CNTRL-42 ST,4567S,957829,1928134,2019-11-17 00:00:00,SUN,GRD CNTRL-42 ST__4567S,0,"(-1, 3]",48.0,64.0
157654,GRD CNTRL-42 ST,4567S,957831,1928138,2019-11-17 04:00:00,SUN,GRD CNTRL-42 ST__4567S,4,"(3, 7]",2.0,4.0
157655,GRD CNTRL-42 ST,4567S,957838,1928174,2019-11-17 08:00:00,SUN,GRD CNTRL-42 ST__4567S,8,"(7, 11]",7.0,36.0
157656,GRD CNTRL-42 ST,4567S,957865,1928279,2019-11-17 12:00:00,SUN,GRD CNTRL-42 ST__4567S,12,"(11, 15]",27.0,105.0
157657,GRD CNTRL-42 ST,4567S,957918,1928527,2019-11-17 16:00:00,SUN,GRD CNTRL-42 ST__4567S,16,"(15, 19]",53.0,248.0
157658,GRD CNTRL-42 ST,4567S,957987,1928726,2019-11-17 20:00:00,SUN,GRD CNTRL-42 ST__4567S,20,"(19, 24]",69.0,199.0
157659,GRD CNTRL-42 ST,4567S,958012,1928754,2019-11-18 00:00:00,MON,GRD CNTRL-42 ST__4567S,0,"(-1, 3]",25.0,28.0
